R-R Variance,Binary Label
0.005764159891340467,1
0.00036100119598640886,0
0.0010619743002785577,1
0.000181533881193082,0
0.0031063208977381387,1
0.00017582029985958303,0
0.0009686932761288254,1
0.000448324614100986,0
0.001373012860616048,1
0.05970144271850586,1
0.11108890771865845,1
0.147661880571015,1
0.000546719878911972,0
0.006789493560791016,1
0.08390838861465454,1
0.7559873859087626,1
0.008366756969028048,1
0.0003344549073113335,0
0.003085931142171224,1
0.20195034477445817,1
0.05489805710217184,1
0.008557938347178056,1
0.017657657464345295,1
0.010837917485512978,1
0.0007146249214808146,0
0.00022695084248692534,0
0.0006124362472660286,0
0.0008629341802653477,1
7.759862475925022e-05,0
0.00010485056589341022,0
0.0002863605817159017,0
8.188902273685975e-05,0
0.00010790427525838216,0
0.00023888879352145726,0
0.0011768933583998823,1
0.00019109127472858038,0
0.00018605960191354242,0
9.516428208210058e-05,0
0.0005995363605265715,0
0.0006562943994646241,0
6.789427537184495e-05,0
0.007753496368726094,1
0.053639467097510975,1
0.00034399709757968524,0
0.0001377100069847333,0
0.00034843535112911425,0
0.0006001235465326253,0
0.002007611404509234,1
0.0006185703807406955,0
9.553134441375732e-05,0
0.00014149648903389654,0
0.00043441840177457005,0
0.0005969831929404355,0
0.04097257172765811,1
0.039735179302121,1
0.0013323421320639366,1
0.000305305571245724,0
0.00033177932103474933,0
0.0006619176921054456,0
0.0005851768785052829,0
0.0015328261587354874,1
0.00017318217712041187,0
0.0005665404929055107,0
0.00022319082677717034,0
0.0020660479393231094,1
0.0004701840101614506,0
0.0007625726553109976,0
0.0013269503441082655,1
0.00041778835319203046,0
0.00021492658987553163,0
0.0005688849422666761,0
0.12179777383804322,1
0.0003733370039198133,0
0.0007276224666798609,0
0.17826888580952793,1
0.0007104337568113791,0
0.0004925264252556695,0
0.0009223636315793407,1
0.0004213265413363304,0
0.00018507607129155374,0
0.0005983114242553711,0
0.019640008608500164,1
0.00040105316374037,0
0.0006350060186442539,0
0.0013139827383889093,1
0.0009600142755451992,1
0.0007616866975140995,0
0.0008231848478317261,0
0.004588756296369764,1
0.0014553649557961358,1
0.0007943279487042387,0
0.0035037994384765625,1
0.0008516096406512788,1
0.0003512674126743285,0
0.0004015928189430012,0
0.002324671434932912,1
0.0009699463844299316,1
0.002389392852783203,1
0.024296782016754153,1
0.008530533313751221,1
0.010339834690093993,1
0.0031973099708557133,1
0.05539805650711059,1
0.00995889663696289,1
0.003312672177950541,1
0.009781219893031651,1
0.016014835834503173,1
0.001441200574239095,1
0.00013412385297244822,0
0.0007245554726504714,0
0.002315794927834054,1
0.12832759857177736,1
0.07952396631240846,1
0.0651809080147449,1
0.15791702270507812,1
0.04998742209540473,1
0.03631038496480185,1
0.0006936873708452497,0
0.000624382989646415,0
0.0008789872636600417,1
0.040725125206841364,1
0.00025022881371634346,0
0.00018405350002311392,0
0.00014954346876878006,0
0.0007106115126750878,0
0.0005537969826241217,0
0.00034806855331511187,0
0.0003356072637769911,0
0.0001176630956886788,0
0.03803341447814437,1
0.001945811615893121,1
0.0008251054419411555,0
0.0006352430264625323,0
0.0004270570517997064,0
0.03982247743341658,1
0.10549533719847186,1
0.00017390448666183202,0
0.00011821091175079346,0
0.000269376966688368,0
0.0013173712781195108,1
0.0017413302991517198,1
0.000449626403447439,0
0.0015113287501864964,1
0.0019119041306631906,1
0.07325130701065063,1
0.00033349166681737074,0
0.047850449879964195,1
0.10758179426193237,1
0.055774058824704015,1
0.031188478469848634,1
0.05230158567428589,1
0.0002081510755750868,0
0.00018056869506835938,0
0.0003322338571353834,0
0.022681354259958073,1
0.0539902379690123,1
0.019025399134709284,1
0.036266181204054095,1
0.0012241820611897307,1
0.0005472792676214636,0
0.03057358496718936,1
0.001322689846422545,1
0.0005078267078010404,0
0.001497556968611114,1
0.038734915256500246,1
0.016977179050445556,1
0.003077723763205788,1
0.0003331684403949313,0
0.0012900336714815502,1
0.003257387214236789,1
0.0009961922963460286,1
0.00136289828353458,1
0.0003363632958782606,0
0.00037856929558367775,0
0.0009442701847595576,1
0.000350652469529046,0
0.0007535152965121799,0
0.0016422602865431041,1
0.0007193668021096123,0
0.001626218358675639,1
0.001254563530286153,1
0.0004495978355407715,0
0.0002967168887456258,0
0.00019090415458002037,0
0.00018865806012114214,0
0.00024722736968091255,0
0.0008820626470777723,1
0.001188007332164155,1
0.0011548247219117218,1
0.0008906443443524061,1
0.0005706085099114313,0
0.0010864410174668893,1
0.0015796147860013521,1
0.0303385610411153,1
9.511318057775497e-05,0
0.00026866529114852994,0
0.0013449739436714014,1
0.00031455854574839276,0
0.001643443594173509,1
0.0004667445752747666,0
0.0011018940380641393,1
0.13269137548021048,1
0.0005529474238960111,0
0.00043504578726632256,0
0.0005227009925616563,0
9.66422411860252e-05,0
7.549718934662489e-05,0
0.00023200560589225924,0
0.0002873771044672752,0
0.00035244191186667906,0
0.00022979610222430272,0
0.0004989776385606394,0
0.0003603312594831483,0
0.05539080328192592,1
0.00028300426415437774,0
0.019483404711258312,1
0.0034347314100999097,1
0.03027839503012413,1
0.0011873294909795125,1
0.0015661915143330891,1
0.0008303587101707774,0
0.0005569391780429416,0
0.0014391077889336478,1
0.0006234631735897629,0
0.0009753439161512586,1
0.0013230538227149012,1
0.00042700344288842924,0
0.0005216383271747165,0
0.00023316674762301974,0
0.0003358572721481323,0
0.002919541308160364,1
0.0005711775559645433,0
0.0005507071812947592,0
0.000730032046165692,0
0.0017208440436257254,1
0.0024931629498799643,1
0.0072828713390562265,1
0.0011645207802454631,1
0.0003564291530185276,0
0.00015926857789357504,0
0.0007160257320014798,0
0.010759254296620687,1
0.0007157466820711215,0
0.0009422612613474829,1
9.063217375013564e-05,0
0.0013152543041441177,1
0.0018427554104063248,1
0.0008478346798155042,1
0.0025184601545333862,1
8.048954800035827e-05,0
0.0005604303800142729,0
0.00037266203194610343,0
0.001631860902323525,1
